Count of Crm Cd,Column Labels,,,,,,,,,,,
Row Labels,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",BURGLARY,"MANSLAUGHTER, NEGLIGENT","RAPE, ATTEMPTED","RAPE, FORCIBLE",ROBBERY,THEFT FROM MOTOR VEHICLE - ATTEMPT,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),THEFT FROM PERSON - ATTEMPT,"THEFT, PERSON",Grand Total
6037101122,1,3,,,,,,1,2,,,7
6037101210,3,7,,,1,1,,3,4,,,19
6037101220,5,15,,,,2,,1,20,,,43
6037101300,7,27,,,1,3,2,8,17,,,65
6037101400,11,10,,,1,4,,1,17,,1,45
6037102104,,4,,,,1,,1,1,,,7
6037102105,,5,,,1,1,,1,6,,,14
6037102107,,,,,,,,1,1,,,2
6037103101,,2,,,,,,,1,,,3
6037103102,9,14,,,,3,,2,17,,2,47
6037103200,5,6,,,1,2,,2,3,,,19
6037103300,3,6,,,,1,,3,8,,,21
6037103400,11,26,,,1,13,,8,29,,1,89
6037104103,4,,,,1,,,,1,,,6
6037104108,15,5,,,1,5,,3,14,,1,44
6037104124,,1,,,,,,1,2,,,4
6037104201,4,2,,,1,4,,,,,,11
6037104203,18,21,,,4,12,,4,30,,1,90
6037104204,8,4,,,,1,1,2,5,,1,22
6037104310,4,,,,1,,,1,,,,6
6037104320,8,9,,,2,3,,,8,,,30
6037104401,,,,,,,,1,,,,1
6037104404,1,2,,,,5,,2,2,,,12
6037104610,,3,,,,,,,1,,,4
6037104620,8,7,,,,3,,1,5,,1,25
6037104701,24,29,,,3,19,,8,25,,1,109
6037104703,1,2,,,,,,1,5,,,9
6037104704,44,13,,,5,10,2,8,24,,,106
6037104810,5,4,,,,3,,1,5,,,18
6037104821,4,2,,,2,5,,,3,,,16
6037104822,2,1,,,,1,,,4,,,8
6037106010,1,,,,,,,,,,,1
6037106020,5,20,,,,4,1,4,11,,,45
6037106111,3,12,,,1,2,1,8,10,,,37
6037106112,,1,,,,1,,3,6,,,11
6037106113,2,7,,,1,4,,5,5,,,24
6037106114,1,9,,,1,1,,2,1,,,15
6037106405,1,2,,,,1,,,2,,,6
6037106406,8,9,,,,5,,3,11,,,36
6037106407,6,6,,,,5,1,2,12,,1,33
6037106408,25,32,,,4,19,,9,25,,1,115
6037106510,3,31,,,1,4,,1,13,,,53
6037106520,2,14,,,2,3,1,5,8,,,35
6037106603,,1,,,,,,1,,,,2
6037106604,5,4,,,,1,,2,4,,,16
6037106641,,17,,,,,,4,4,,,25
6037106642,3,9,,,,1,,,,,,13
6037106643,1,29,,,1,2,1,,6,,,40
6037106645,,11,,,,,,,,,,11
6037106646,,13,,,1,,,3,1,,1,19
6037106648,4,2,,,,,,,2,,,8
6037106649,4,3,,,,,,4,5,,,16
6037107010,13,18,,2,2,6,,3,16,,,60
6037107020,26,33,,,1,12,1,5,31,,1,110
6037108102,,6,,,1,1,,1,2,,1,12
6037108103,2,12,,,,,,2,9,,,25
6037108104,3,28,,,,1,,1,6,,,39
6037108201,,8,,,,,,1,2,,1,12
6037108202,,6,,,1,,,,2,,,9
6037109100,1,5,,,,3,,3,5,,,17
6037109200,2,3,,,1,1,,5,7,,,19
6037109300,4,12,,,1,,,2,12,,,31
6037109400,,6,,,1,,,,4,,,11
6037109500,7,9,,,2,4,,,8,,,30
6037109601,2,5,,,,5,,,12,,,24
6037109604,8,33,,,1,7,,9,20,,,78
6037109700,11,7,,,,1,,3,12,,,34
