"","Row Labels","Count of PARK_NAME","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","BURGLARY","MANSLAUGHTER, NEGLIGENT","RAPE, ATTEMPTED","RAPE, FORCIBLE","ROBBERY","THEFT FROM MOTOR VEHICLE - ATTEMPT","THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER)","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","THEFT FROM PERSON - ATTEMPT","THEFT, PERSON","Grand Total","Total population","Median Income","Pools","Gym","Restroom"
"1",6037101122,1,1,3,0,0,0,0,0,1,2,0,0,7,3301,"86081",0,0,0
"2",6037101300,3,7,27,0,0,1,3,2,8,17,0,0,65,4238,"80708",0,0,0
"3",6037101400,2,11,10,0,0,1,4,0,1,17,0,1,45,4231,"65029",0,0,2
"4",6037102103,1,0,0,0,0,0,0,0,0,0,0,0,0,1870,"73819",0,0,0
"5",6037102104,3,0,4,0,0,0,1,0,1,1,0,0,7,3578,"72039",0,0,0
"6",6037102107,2,0,0,0,0,0,0,0,1,1,0,0,2,3950,"62264",0,0,0
"7",6037103101,1,0,2,0,0,0,0,0,0,1,0,0,3,2734,"67500",0,0,0
"8",6037103102,3,9,14,0,0,0,3,0,2,17,0,2,47,4632,"68048",1,0,0
"9",6037103200,1,5,6,0,0,1,2,0,2,3,0,0,19,6193,"48670",0,0,0
"10",6037103300,1,3,6,0,0,0,1,0,3,8,0,0,21,3137,"78281",0,0,0
"11",6037103400,2,11,26,0,0,1,13,0,8,29,0,1,89,6542,"62423",0,0,1
"12",6037104124,2,0,1,0,0,0,0,0,1,2,0,0,4,4379,"80813",0,1,1
"13",6037104203,1,18,21,0,0,4,12,0,4,30,0,1,90,4880,"45788",1,1,1
"14",6037104701,1,24,29,0,0,3,19,0,8,25,0,1,109,4028,"27394",0,0,0
"15",6037104704,1,44,13,0,0,5,10,2,8,24,0,0,106,4140,"51003",0,1,1
"16",6037104810,1,5,4,0,0,0,3,0,1,5,0,0,18,6034,"66054",0,0,1
"17",6037106010,2,1,0,0,0,0,0,0,0,0,0,0,1,3334,"76576",0,0,0
"18",6037106020,2,5,20,0,0,0,4,1,4,11,0,0,45,6323,"71250",0,0,0
"19",6037106111,2,3,12,0,0,1,2,1,8,10,0,0,37,4794,"79702",2,1,11
"20",6037106112,1,0,1,0,0,0,1,0,3,6,0,0,11,5861,"74256",0,0,0
"21",6037106113,1,2,7,0,0,1,4,0,5,5,0,0,24,3502,"74688",0,0,0
"22",6037106406,4,8,9,0,0,0,5,0,3,11,0,0,36,5508,"76131",0,0,0
"23",6037106510,3,3,31,0,0,1,4,0,1,13,0,0,53,5178,"92857",0,0,1
"24",6037106603,1,0,1,0,0,0,0,0,1,0,0,0,2,3253,"102632",0,0,0
"25",6037106641,1,0,17,0,0,0,0,0,4,4,0,0,25,2196,"101758",0,0,0
"26",6037106643,1,1,29,0,0,1,2,1,0,6,0,0,40,4739,"138750",0,0,0
