PARK_NAME,ACCESS_TYP,RPT_ACRES,POOLS,GYM,RSTRM,TYPE,CENTER_LAT,CENTER_LON,CITY,census_tract,tract_lat,tract_lon
El Barrio Park,Open Access,2.093,0,0,1,Local Park,34.09708079,-117.7044232,Claremont,6037402002,34.0874081,-117.7134071
El Dorado Park,Open Access,5.144,0,0,1,Local Park,34.69157769,-118.1221093,Lancaster,6037900607,34.6932021,-118.1241061
Atlantic Avenue Park,Open Access,1.96,1,0,1,Local Park,34.02530363,-118.1552009,Los Angeles,6037531702,34.0158731,-118.1597749
El Escorpion Park,Open Access,66.914,0,0,0,Local Park,34.19674178,-118.6641685,West Hills,6037135203,34.1918593,-118.6570808
El Marino Park/ El Marino Elementary,Open Access,3.2,0,0,0,Local Park,33.99251602,-118.3992332,Culver City,6037702600,33.9958996,-118.3961597
El Paseo Cahuenga Park,Open Access,1.546,0,0,0,Local Park,34.13075142,-118.3498732,Los Angeles,6037320000,34.1387351,-118.3508573
El Sereno North Park,Open Access,3.078,0,0,1,Local Park,34.09745117,-118.1678776,Los Angeles,6037480702,34.1049412,-118.1699083
El Sereno Rec. Center,Open Access,13.934,1,0,1,Local Park,34.07679818,-118.1811291,Los Angeles,6037201601,34.0726971,-118.1774624
Augustus Hawkins Natural Park,Open Access,8.398,0,0,0,Local Park,33.99038415,-118.246659,Los Angeles,6037532800,33.9864059,-118.2520926
Elyria Canyon Park,Open Access,35.898,0,0,0,Natural Areas,34.10216565,-118.223285,Los Angeles,6037185310,34.0922029,-118.2226256
Elysian Park,Open Access,575.957,0,0,8,Regional Recreation Park,34.08259128,-118.2388759,Los Angeles,6037980010,34.0786807,-118.239514
Elysian Valley Rec. Center,Open Access,2.005,0,1,0,Local Park,34.09925487,-118.2447479,Los Angeles,6037197410,34.0929146,-118.250437
Emerald Park,Open Access,3.881,0,0,0,Local Park,34.12031255,-117.7699753,La Verne,6037401601,34.1170701,-117.7643631
Encino Park,Open Access,4.068,0,0,0,Local Park,34.16072073,-118.5027099,Encino,6037139701,34.157429,-118.4954117
Valley Glen Community Park,Open Access,5.135,0,0,0,Local Park,34.18239302,-118.4192608,Van Nuys,6037124400,34.1739658,-118.4114177
Everett Park,Open Access,0.533,0,0,0,Regional Open Space,34.07010949,-118.2487136,Los Angeles,6037980010,34.0786807,-118.239514
Evergreen Rec. Center,Open Access,5.389,0,1,0,Local Park,34.03837,-118.2046527,Los Angeles,6037204810,34.0285547,-118.2030024
Fehlhaber-Houk Park,Open Access,1.161,0,0,0,Local Park,34.24063305,-118.2737552,Tujunga,6037101300,34.2487733,-118.2709978
Fernangeles Rec. Center,Open Access,9.263,1,1,1,Local Park,34.22910231,-118.4022476,Sun Valley,6037121221,34.2276175,-118.3955625
Finkbiner Park,Open Access,12.156,0,0,1,Local Park,34.13777417,-117.8607923,Glendora,6037401102,34.1310435,-117.866662
Fox Hills Parkette,Open Access,0.95,0,0,0,Local Park,33.98727801,-118.3821587,Culver City,6037703002,33.9874965,-118.3729565
Freedom Park (City of Hungtington Park),Open Access,0.792,0,0,0,Local Park,33.98501562,-118.1965151,Huntington Park,6037533602,33.9771928,-118.1965167
Balboa Sports Center,Open Access,48.758,0,1,4,Local Park,34.17630042,-118.5034639,Encino,6037139001,34.1754113,-118.5117181
Fremont Park,Open Access,7.9,1,0,2,Local Park,34.15714414,-118.2680523,Glendale,6037301802,34.1492141,-118.2597025
Frontier Park (City of Cerritos),Restricted Access,2.646,0,0,0,Local Park,33.8776489,-118.0599127,Cerritos,6037554514,33.8741129,-118.069656
Fryman Canyon Natural Area,Open Access,60.809,0,0,0,Natural Areas,34.12284769,-118.3927837,Studio City,6037261101,34.1161075,-118.4011401
Furman Park,Open Access,14.408,0,0,1,Local Park,33.95339162,-118.1374899,Downey,6037550800,33.95127,-118.1433556
Baldwin Hills Rec. Center,Open Access,6.868,0,1,0,Local Park,34.02442519,-118.3641631,Los Angeles,6037220100,34.023934,-118.3662035
Garfield Park (City of Pomona),Open Access,2.655,0,0,0,Local Park,34.06344135,-117.7339032,Pomona,6037402801,34.0542821,-117.7349296
Garvanza Park,Open Access,8.274,0,0,1,Local Park,34.11932232,-118.1807618,Los Angeles,6037183620,34.115176,-118.1898523
Garvey Park,Open Access,12.59,1,1,2,Local Park,34.06719421,-118.0961402,Rosemead,6037482503,34.0586251,-118.0948587
Garvey Ranch Park,Open Access,18.265,0,0,2,Local Park,34.05283224,-118.1144088,Monterey Park,6037482600,34.0472694,-118.1133924
Genesee Avenue Park,Open Access,5.853,0,0,0,Local Park,34.03637138,-118.3679428,Los Angeles,6037270300,34.0399075,-118.3708123
George E. Elder Park,Open Access,13.929,1,1,1,Local Park,34.04071588,-118.1254772,Monterey Park,6037482702,34.0414852,-118.1338308
George Izay Park,Open Access,15.698,0,1,2,Local Park,34.17177962,-118.3199284,Burbank,6037311802,34.1710001,-118.3112874
George Manooshian Park,Restricted Access,18.844,0,0,0,Local Park,34.14954187,-117.8484096,Glendora,6037401001,34.1408746,-117.8525
Gilbert Lindsay Community Center Park,Open Access,17.715,0,0,0,Local Park,34.00739408,-118.2674288,Los Angeles,6037231900,33.9997716,-118.2773419
Gladstone Park (City of Azusa),Open Access,4.901,0,0,2,Local Park,34.11613096,-117.9018412,Azusa,6037404504,34.1104925,-117.9033404
Glassell Park and Rec. Center,Open Access,12.663,1,1,1,Local Park,34.11615634,-118.2325226,Los Angeles,6037186404,34.1067595,-118.2354293
Adult Recreation Center & Central Park,Open Access,3.16,0,0,1,Local Park,34.14312068,-118.2534877,Glendale,6037302504,34.1351285,-118.2491936
