"","CITY","LAT","LON","count_crimes","count_parks","Total_green_area_Acres"
"1","",33.9851521611551,-118.476318703231,1238,11,294.038
"2","Agoura Hills",34.1496154723529,-118.758958911765,17,17,887.355
"3","Alhambra",34.0854232824409,-118.151646409449,127,10,187.72
"4","Altadena",34.197943093125,-118.13788668125,16,16,223.86357767
"5","Arcadia",34.1295504603571,-118.034262153571,28,28,438.83697053
"6","Artesia",33.872961798,-118.08374236,5,5,17.234
"7","Avalon",33.3424188175,-118.3245362,4,4,3.405
"8","Azusa",34.1383690035294,-117.902387117647,34,34,232.851
"9","Baldwin Park",34.0848175133333,-117.96318425,6,6,22.883
"10","Bell",33.977796792,-118.1898025,5,5,8.20432127
"11","Bell Gardens",33.9644254573684,-118.161952005263,19,19,93.098
"12","Bellflower",33.887741745,-118.1235815625,16,16,99.55356473
"13","Beverly Hills",34.0755007548689,-118.394940674847,5570,33,273.644
"14","Burbank",34.186036541533,-118.349038197861,561,34,1260.57
"15","Calabasas",34.14767569,-118.66482276,10,10,559.137
"16","Canoga Park",34.2100675511115,-118.609132264755,2528,14,1350.256
"17","Canyon Country",34.4175126671429,-118.459693,7,7,1421.236
"18","Carson",33.8564309242308,-118.26328065,26,18,311.68208393
"19","Castaic",34.4466989733333,-118.651414733333,3,3,85.38830243
"20","Cerritos",33.8675705408,-118.070497324,25,25,249.41506328
"21","Chatsworth",34.2644799479967,-118.582186460601,599,8,3020.03
"22","Claremont",34.10749392,-117.719237394118,17,17,2189.569
"23","Compton",33.8969251509524,-118.227977428571,21,21,85.1387548
"24","Covina",34.0905041216667,-117.877860575,12,12,133.25598078
"25","Culver City",34.0143507742585,-118.399338884547,3048,20,130.45514834
"26","Diamond Bar",34.00452194,-117.802527758333,12,12,380.86760397
"27","Downey",33.936425060625,-118.1349703625,16,16,335.3536167
"28","Duarte",34.138354014375,-117.97107544375,16,16,705.62184721
"29","El Monte",34.0734999183333,-118.035570383333,12,12,44.343
"30","El Segundo",33.9259087440351,-118.412496261404,57,22,90.44
"31","Encino",34.1673225456489,-118.49456688606,3845,16,2565.394
"32","Gardena",33.8817215135172,-118.293704406897,435,13,111.637
"33","Glendale",34.139795411347,-118.251230891756,1856,46,3908.35454972
"34","Glendora",34.133640129375,-117.85284383125,16,16,513.944
"35","Granada Hills",34.27535768597,-118.4972328678,1000,8,911.3572009
"36","Hacienda Heights",33.9991890263636,-117.9635944,11,11,1060.35057809
"37","Harbor City",33.7967642433333,-118.292423433333,603,3,35.118
"38","Hawaiian Gardens",33.82668659,-118.0754494,3,3,1.487
"39","Hawthorne",33.9185445465,-118.364150291667,60,14,70.63319133
"40","Hermosa Beach",33.8619204271429,-118.393683152381,21,21,135.223
"41","Huntington Park",33.97883600875,-118.2142147875,8,8,45.92326802
"42","Inglewood",33.9676399854863,-118.34067868524,1748,13,94.924
"43","La Canada Flintridge",34.2127515425,-118.2062716875,8,8,825.149
"44","La Crescenta",34.2301592738462,-118.2500338,13,13,898.6058797
"45","La Habra",33.969394745,-117.9480867,2,2,693.937
